epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.106,2.56748,3.41255,1.95523,0.00867,0.38806,0.01145,0.00279,2.6855,3.52322,2.11905,0.000649123,0.000649123,0.000649123
2,108.608,2.47184,2.94647,1.96973,0.23245,0.0597,0.09467,0.02364,2.5546,2.93699,1.97325,0.00128391,0.00128391,0.00128391
3,158.312,2.42792,2.7037,1.88341,0.12055,0.20896,0.07541,0.02481,2.76678,2.70273,2.06009,0.00179504,0.00179504,0.00179504
4,208.264,2.38147,2.61282,1.81599,0.14141,0.26866,0.1148,0.03092,2.69285,4.06633,2.09017,0.00159191,0.00159191,0.00159191
5,257.602,2.36345,2.56583,1.80009,0.2009,0.30772,0.17206,0.04657,2.65803,2.92633,1.99903,0.00131593,0.00131593,0.00131593
6,307.71,2.34102,2.45448,1.78024,0.30612,0.23708,0.16181,0.04292,2.63044,2.44439,1.90349,0.00101,0.00101,0.00101
7,357.842,2.27122,2.32256,1.7183,0.32432,0.32836,0.24741,0.0745,2.47282,2.26443,1.85281,0.000704073,0.000704073,0.000704073
8,407.937,2.24137,2.30425,1.70621,0.28253,0.35821,0.22018,0.07295,2.47706,2.27096,1.83499,0.000428093,0.000428093,0.000428093
9,457.49,2.20225,2.23406,1.65086,0.26438,0.31343,0.22454,0.08153,2.47039,2.19036,1.82663,0.000209073,0.000209073,0.000209073
10,507.82,2.1874,2.21253,1.63836,0.36468,0.37313,0.2691,0.091,2.4325,2.16248,1.80689,6.8454e-05,6.8454e-05,6.8454e-05
