epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.83196,2.51905,3.57203,1.96249,0.00667,0.29851,0.05792,0.01903,2.88098,3.94058,2.31054,0.09109,9e-05,9e-05
2,15.8323,2.37215,2.9051,1.75166,0.01233,0.55224,0.04551,0.01169,3.31049,3.48922,2.06739,0.08119,0.000189979,0.000189979
3,21.6484,2.33188,2.60497,1.79185,0.01267,0.56716,0.05005,0.01453,3.06619,3.14251,2.29161,0.0712899,0.000289874,0.000289874
4,27.4783,2.28164,2.44074,1.77193,0.015,0.67164,0.04066,0.00986,2.96081,3.01674,2.25189,0.0613896,0.000389619,0.000389619
5,33.1692,2.28612,2.34198,1.71543,0.16233,0.19403,0.11497,0.03618,2.80717,3.14292,2.25848,0.0514891,0.000489149,0.000489149
6,39.3835,2.30938,2.28786,1.69038,0.19373,0.23881,0.11429,0.0357,2.73168,3.55942,2.09951,0.0415884,0.0005884,0.0005884
7,44.8532,2.20534,2.42005,1.77042,0.04044,0.22388,0.03475,0.01159,2.57245,3.87013,2.02278,0.0316873,0.000687307,0.000687307
8,50.7446,2.19339,2.29192,1.74261,0.0564,0.23881,0.04341,0.01384,2.59207,3.52555,2.02266,0.0217858,0.000785805,0.000785805
9,56.5703,2.24637,2.14306,1.65584,0.14081,0.22388,0.07092,0.02363,2.65222,3.5862,1.9057,0.0118838,0.000883831,0.000883831
10,61.931,2.2748,2.33403,1.69509,0.19433,0.29851,0.1425,0.0389,2.66428,3.27427,1.8274,0.00198132,0.00098132,0.00098132
11,68.0929,2.30347,2.23175,1.70013,0.08372,0.31231,0.05981,0.01542,2.70441,4.2707,1.97291,0.000989183,0.000989183,0.000989183
12,72.5637,2.28737,2.14538,1.62042,0.17212,0.22388,0.12855,0.04348,2.74836,3.5978,1.92167,0.000986922,0.000986922,0.000986922
13,80.0124,2.24735,2.21273,1.65005,0.17368,0.23881,0.16345,0.05151,2.49461,2.86494,1.78243,0.000984449,0.000984449,0.000984449
14,85.6383,2.24252,2.12449,1.66882,0.14118,0.31343,0.12839,0.04152,2.48533,3.09137,1.94651,0.000981765,0.000981765,0.000981765
15,91.7023,2.2527,2.12027,1.68016,0.16034,0.26866,0.11951,0.03692,2.56854,2.94145,1.90173,0.000978873,0.000978873,0.000978873
16,97.3387,2.18683,2.09155,1.6417,0.09831,0.31343,0.10004,0.0328,2.58571,2.67965,1.93196,0.000975773,0.000975773,0.000975773
17,103.731,2.16173,2.12543,1.62955,0.22192,0.31343,0.17218,0.05714,2.54465,2.74621,1.78825,0.000972466,0.000972466,0.000972466
18,109.257,2.21039,2.03444,1.591,0.31033,0.32836,0.20339,0.07169,2.52968,3.18766,1.81729,0.000968955,0.000968955,0.000968955
19,114.694,2.15328,2.11014,1.68864,0.10862,0.35821,0.10519,0.032,2.46146,3.00163,1.91265,0.000965239,0.000965239,0.000965239
20,120.716,2.17148,2.12864,1.68421,0.30645,0.20896,0.1669,0.05118,2.53053,3.30903,1.84744,0.000961322,0.000961322,0.000961322
21,125.803,2.20076,2.05871,1.68465,0.24118,0.32836,0.18598,0.04817,2.53916,2.47543,1.85808,0.000957205,0.000957205,0.000957205
22,132.671,2.17722,2.05693,1.63815,0.31373,0.32836,0.20775,0.06793,2.47074,2.34234,1.84781,0.000952889,0.000952889,0.000952889
23,137.791,2.20708,2.05861,1.65324,0.16437,0.28358,0.13238,0.0418,2.50447,2.65977,1.76925,0.000948377,0.000948377,0.000948377
24,143.674,2.26614,1.94351,1.5889,0.22119,0.34763,0.16269,0.05519,2.37809,2.64779,1.75026,0.000943671,0.000943671,0.000943671
25,148.976,2.13832,2.02044,1.62308,0.21886,0.34328,0.17175,0.05534,2.47299,2.42992,1.83042,0.000938772,0.000938772,0.000938772
26,155.091,2.13748,1.94592,1.58931,0.20335,0.38806,0.21631,0.07024,2.47065,2.31733,1.80923,0.000933683,0.000933683,0.000933683
27,161.013,2.12743,2.0361,1.64455,0.28654,0.34328,0.22999,0.07412,2.44317,2.24552,1.76698,0.000928405,0.000928405,0.000928405
28,166.349,2.12801,1.95463,1.56311,0.21734,0.23881,0.2107,0.06923,2.42723,2.35675,1.7338,0.000922942,0.000922942,0.000922942
29,173.141,2.12466,2.05588,1.69887,0.4698,0.26458,0.27247,0.09571,2.49299,2.29462,1.83633,0.000917296,0.000917296,0.000917296
30,177.814,2.09994,1.90937,1.60545,0.21058,0.23881,0.18801,0.0738,2.57027,2.51161,1.79447,0.000911469,0.000911469,0.000911469
31,184.117,2.14572,1.88999,1.58499,0.23114,0.32836,0.25309,0.08241,2.71719,2.20223,2.02135,0.000905463,0.000905463,0.000905463
